ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Quant_Qual,EBA_P3_Map?,SASB_Map?,Description,TCFD_Map?
2d176f2c-8f95-4964-a1f0-e303ebe74138,Attribute,b2ff0037-e56e-4135-81fe-3d48b4ddfe76,S2.17a,,,,,,,,Qualitative,Yes,No,"the process, or processes, it uses to identify climate-related: (i) risks; and (ii) opportunities",Part
5256ae76-3e60-4bb0-980e-77c2f35b4726,Attribute,b2ff0037-e56e-4135-81fe-3d48b4ddfe76,S2.17b,,,,,,,,Qualitative,Part,No,"the process, or processes, it uses to identify climate-related risks for risk management purposes, including when applicable: (i) how it assesses the likelihood and effects associated with such risks (such as the qualitative factors, quantitative thresholds and other criteria used); (ii) how it prioritises climate-related risks relative to other types of risks, including its use of risk-assessment tools (for example, science-based risk-assessment tools); (iii) the input parameters it uses (for example, data sources, the scope of operations covered and the detail used in assumptions); and (iv) whether it has changed the processes used compared to the prior reporting period",Part
4671bb12-aff9-4941-864e-10d03fa779b9,Attribute,b2ff0037-e56e-4135-81fe-3d48b4ddfe76,S2.17c,,,,,,,,Qualitative,No,No,"the process, or processes, it uses to identify, assess and prioritise climate-related opportunities",No
3fecc6a2-0387-4b9b-bc81-47777cdc233a,Attribute,b2ff0037-e56e-4135-81fe-3d48b4ddfe76,S2.17d,,,,,,,,Qualitative,Yes,No,"the process, or processes, it uses to monitor and manage the climate-related: (i) risks, including related policies; and (ii) opportunities, including related policies",Yes
33899c1b-cb30-4402-b229-5adec58de813,Attribute,b2ff0037-e56e-4135-81fe-3d48b4ddfe76,S2.17e,,,,,,,,Qualitative,Yes,No,"the extent to which and how the climate-related risk identification, assessment and management process, or processes, are integrated into the entity’s overall risk management process",Yes
0a95c6c7-d147-44d3-a2d3-38dd373e181c,Attribute,b2ff0037-e56e-4135-81fe-3d48b4ddfe76,S2.17f,,,,,,,,Qualitative,No,No,"the extent to which and how the climate-related opportunity identification, assessment and management process, or processes, are integrated into the entity’s overall management process.",No
93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,Object,6fbedd19-228d-49c5-9f25-787e561d4945,Metrics and Targets,,,,,,,,,,,,
38eba988-bb17-43f1-8cf6-32f8aea632b3,Attribute,93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,S2.21a(i),,,,,,,,Quantitative,Part,No,"its absolute gross greenhouse gas emissions generated during the reporting period, measured in accordance with the Greenhouse Gas Protocol Corporate Standard, expressed as metric tonnes of CO2 equivalent, classified as: (1) Scope 1 emissions; (2) Scope 2 emissions; (3) Scope 3 emissions",Yes
dbbe2288-0ac4-44d9-ba85-34fdaa31042f,Attribute,93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,S2.21a(ii),,,,,,,,Quantitative,No,No,"its greenhouse gas emissions intensity for each scope in paragraph 21(a)(i)(1)–(3), expressed as metric tonnes of CO2 equivalent per unit of physical or economic output",Yes
b1806969-149f-455c-8144-94204ae8bea0,Attribute,93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,S2.21a(iii),,,,,,,,Quantitative,No,No,"for Scope 1 and Scope 2 emissions disclosed in accordance with paragraph 21(a)(i)(1)–(2), the entity shall disclose emissions separately for: (1) the consolidated accounting group (the parent and its subsidiaries); (2) associates, joint ventures, unconsolidated subsidiaries or affiliates not included in paragraph 21(a)(iii)(1)",No
e264f42d-977c-4b8d-b7fb-3585d98b1c1e,Attribute,93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,S2.21a(vi),,,,,,,,Quantitative,Part,No,"for Scope 3 emissions disclosed in accordance with paragraph 21(a)(i)(3): (1) an entity shall include upstream and downstream emissions in its measure of Scope 3 emissions; (2) an entity shall disclose the categories included within its measure of Scope 3 emissions, to enable users of general purpose financial reporting to understand which Scope 3 emissions have been included in, or excluded from, those reported; (3) when the entity’s measure of Scope 3 emissions includes information provided by entities in its value chain, it shall explain the basis for that measurement",Yes
a415403c-b8d2-4ba8-8593-07c0754c73cb,Attribute,93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,S2.21b,,,,,,,,Quantitative,Part,No,transition risks—the amount and percentage of assets or business activities vulnerable to transition risks,Yes
0e6ffec4-f622-4c7a-870d-1bd7716058b8,Attribute,93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,S2.21c,,,,,,,,Quantitative,Yes,No,physical risks—the amount and percentage of assets or business activities vulnerable to physical risks,Yes
48f6e1f3-4765-4e09-aad2-d20cfd7d11a6,Attribute,93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,S2.21d,,,,,,,,Quantitative,Part,No,climate-related opportunities—the amount and percentage of assets or business activities aligned with climate-related opportunities,Yes
c0b313f6-15fb-47b1-81e1-737da835df49,Attribute,93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,S2.21e,,,,,,,,Quantitative,No,No,"capital deployment—the amount of capital expenditure, financing or investment deployed towards climate-related risks and opportunities",Yes
885b90ef-d4c2-427a-8721-0a93e957950c,Attribute,93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,S2.21f,,,,,,,,Quantitative,No,No,"internal carbon prices: (i) the price for each metric tonne of greenhouse gas emissions that the entity uses to assess the costs of its emissions; (ii) an explanation of how the entity is applying the carbon price in decision-making (for example, investment decisions, transfer pricing and scenario analysis)",Yes
146e020d-98c9-40bf-b2f7-86f26a2b0333,Attribute,93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,S2.21g,,,,,,,,Qualitative,No,No,remuneration: (i) the percentage of executive management remuneration recognised in the current period that is linked to climate-related considerations; and (ii) a description of how climate-related considerations are factored into executive remuneration (also see paragraph 5(f)).,Yes
37c126d2-a597-4728-8d13-aca5b6f4d7c5,Attribute,93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,S2.23,,,,,,,,Qualitative,Yes,No,An entity shall disclose its climate-related targets,Yes
1d21b6da-9179-438b-b8f4-71ee8e76a209,Attribute,93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,S2.23a,,,,,,,,Qualitative,Part,No,"For each climate-related target, metrics used to assess progress towards reaching the target and achieving its strategic goals",Yes
f21dc30e-43c6-4492-8971-c2ea233a4daf,Attribute,93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,S2.23b,,,,,,,,Qualitative,Yes,No,"For each climate-related target, the specific target the entity has set for addressing climate-related risks and opportunities",Yes
774f1751-74a4-48fb-a011-73d408dddc28,Attribute,93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,S2.23c,,,,,,,,Qualitative,Part,No,"For each climate-related target, whether this target is an absolute target or an intensity target",Yes
bd1191f2-4493-428b-b6df-16bfc9f42488,Attribute,93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,S2.23d,,,,,,,,Qualitative,Part,No,"For each climate-related target, the objective of the target (for example, mitigation, adaptation or conformance with sector or science-based initiatives)",No
c27fbbf8-0797-4fd7-b2ff-100cc556d2d1,Attribute,93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,S2.23e,,,,,,,,Qualitative,Part,No,"For each climate-related target, how the target compares with those created in the latest international agreement on climate change and whether it has been validated by a third party",No
48e3a545-4429-42d2-b0be-26177a945bb3,Attribute,93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,S2.23f,,,,,,,,Qualitative,No,No,"For each climate-related target, whether the target was derived using a sectoral decarbonisation approach",No
f84246e9-e142-4e4c-b710-b48ad95a5a6f,Attribute,93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,S2.23g,,,,,,,,Qualitative,Part,No,"For each climate-related target, the period over which the target applies",Yes
69f6febb-52d6-44b8-a4c6-00527df9765f,Attribute,93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,S2.23h,,,,,,,,Qualitative,Part,No,"For each climate-related target, the base period from which progress is measured",Yes
e573de93-9f33-493f-9cc8-c5416bda84b3,Attribute,93eb5c31-7d0a-44c4-b345-0b3e929e5e3b,S2.23i,,,,,,,,Qualitative,Part,No,"For each climate-related target, any milestones or interim targets",Yes
ae10df11-bd9b-4a34-9081-d2d909c168fe,Layer,,ISSB - S2 Appendix B: Industry-based Disclosures,,,,,,,,,,,,
150516d0-4eeb-424c-87c9-39053f01b4c6,Object,ae10df11-bd9b-4a34-9081-d2d909c168fe,B15 - Asset Management and Custody Activities,,,,,,,,,,,,
8edef6fb-af21-4076-bf4a-67b56a7f13f9,Attribute,150516d0-4eeb-424c-87c9-39053f01b4c6,FN-AC-410a.1,,,,,,,,Quantitative,No,Part,"Amount of assets under management, by asset class, that employ (1) integration by environmental, social and governane issues, (2) sustainability themed investing, and (3) screening",No
fec5264f-3234-4d79-9199-2cfe4ef19fce,Attribute,150516d0-4eeb-424c-87c9-39053f01b4c6,FN-AC-410a.2,,,,,,,,Qualitative,Part,Yes,"Description of approach to incorporation of environmental, social, and governance factors in investment and/or wealth management processes and strategies",Part
8a34f210-2ada-4dfb-af33-c2d12a46b66b,Attribute,150516d0-4eeb-424c-87c9-39053f01b4c6,FN-AC-410a.3,,,,,,,,Qualitative,No,Yes,Description of proxy voting and investee engagement policies and procedures,Part
ad34f4ce-5cd8-4150-887b-e29da4723640,Attribute,150516d0-4eeb-424c-87c9-39053f01b4c6,FN-AC-1,,,,,,,,Quantitative,Part,Part,Percentage of total assets under management (AUM) included in the financed emissions calculation,No
e260864f-2703-4b4d-b91b-ee793c9f3690,Attribute,150516d0-4eeb-424c-87c9-39053f01b4c6,FN-AC-2,,,,,,,,Quantitative,Part,Part,"(1) Absolute gross (a) Scope 1 emissions, Scope (b) emissions, and (c) Scope 3 emissions, and (2) associated amount of total AUM(i.e. financed emissions)",Yes
0e386262-6902-48cf-bb95-b29cb7a67b7a,Attribute,150516d0-4eeb-424c-87c9-39053f01b4c6,FN-AC-3,,,,,,,,Quantitative,Part,Part,"(1) Gross emissions intensity by (a) Scope 1 emissions, (b) Scope 2 emissions, and (c) Scope 3 emissions, and (2) associated amount of total AUM (i.e. financed emissions)",Yes
c4eed934-11a1-46f6-93ba-e41b66473686,Attribute,150516d0-4eeb-424c-87c9-39053f01b4c6,FN-AC-4,,,,,,,,Qualitative,Part,Part,Description of methodology used to calculate financed emissions,Yes
763f3e13-39b6-4f45-944b-0c1c005795d9,Attribute,150516d0-4eeb-424c-87c9-39053f01b4c6,FN-AC-000.A,,,,,,,,Quantitative,No,Yes,(1) Total registered and (2) total unregistered assets under management (AUM),No
60b1fde7-c1c6-4e74-ad39-e6c1d1f04664,Attribute,150516d0-4eeb-424c-87c9-39053f01b4c6,FN-AC-000.B,,,,,,,,Quantitative,No,Yes,Total Assets under custody and supervision,No
053fbfec-8e1d-455f-baed-d7b9630e67d1,Object,ae10df11-bd9b-4a34-9081-d2d909c168fe,B16 - Commercial Banks,,,,,,,,,,,,
7408249b-3541-4532-bbda-46dc1707012d,Attribute,053fbfec-8e1d-455f-baed-d7b9630e67d1,FN-CB-410a.2,,,,,,,,Qualitative,Part,Yes,"Description of approach to incorporation of environmental, social, and governance (ESG) factors in credit analysis",No
82cb0151-2d59-4947-bdbe-63f27f2196d3,Attribute,053fbfec-8e1d-455f-baed-d7b9630e67d1,FN-CB-1,,,,,,,,Quantitative,Yes,No,"(1) Gross exposure to carbon-related industries, by industry, (2) total gross exposure to all industries, and (3) percentage of total gross exposure for each carbon-related industry",Yes
64cfdbbc-688a-43eb-a975-768ae6e8977c,Attribute,053fbfec-8e1d-455f-baed-d7b9630e67d1,FN-CB-2,,,,,,,,Quantitative,Yes,No,Percentage of gross exposure included in the financed emissions calculation,No
b9e8d2d5-8c58-4799-8930-28344f2d89b3,Attribute,053fbfec-8e1d-455f-baed-d7b9630e67d1,FN-CB-3,,,,,,,,Quantitative,Part,No,"For each industry asset class: (1) absolute gross (a) Scope 1 emissions, (b) Scope 2 emissions, (c) Scope 3 emissions, and (2) gross exposure (i.e. financed emissions",Yes
48376d61-0883-4aa0-85b5-e49a33c7216a,Attribute,053fbfec-8e1d-455f-baed-d7b9630e67d1,FN-CB-4,,,,,,,,Quantitative,Part,No,"For each industry asset class: (1) gross emissions intensity by(a) Scope 1 emissions, (b) Scope 2 emissions, (c) Scope 3 emissions, and (2) gross exposure (i.e. financed emissions",Yes
0291d308-af37-4bb3-acc8-190c9ae84dc1,Attribute,053fbfec-8e1d-455f-baed-d7b9630e67d1,FN-CB-5,,,,,,,,Qualitative,Yes,No,Description of the methodology used to calculate financed emissions,Yes
3f9aa2e4-039a-4cff-aa95-4a6401fdafd4,Attribute,053fbfec-8e1d-455f-baed-d7b9630e67d1,FN-CB-000.A,,,,,,,,Quantitative,No,Yes,(1) Number and (2) value of checking and savings accounrs by segment: (a) personal and (b) small business,No
6aa9a990-db8f-4a54-8b69-5d2f2191702a,Attribute,053fbfec-8e1d-455f-baed-d7b9630e67d1,FN-CB-000.B,,,,,,,,Quantitative,No,Yes,"(1) Number and (2) value of loans by segment: (a) personal, (b) small business, and (c) corporate",No
15b4243b-1f80-49a5-8b02-3823d1611f9d,Object,ae10df11-bd9b-4a34-9081-d2d909c168fe,B17 - Insurance,,,,,,,,,,,,
0768f4e2-863e-4f46-b01e-ba37bf4f4c2d,Attribute,15b4243b-1f80-49a5-8b02-3823d1611f9d,FN-IN-410a.2,,,,,,,,Qualitative,Part,Yes,"Description of approach to incorporation of environmental, social, and governance (ESG) factors in investment management processes and strategies",No
7e402e97-a220-4b70-a570-78febb86986b,Attribute,15b4243b-1f80-49a5-8b02-3823d1611f9d,FN-IN-410b.1,,,,,,,,Quantitative,No,Yes,Net premiums written related to energy efficiency and low carbon technology,No
268843c7-e21e-4364-9c9b-358397a7bbe2,Attribute,15b4243b-1f80-49a5-8b02-3823d1611f9d,FN-IN-410b.2,,,,,,,,Qualitative,No,Yes,"Discussion of products and/or product features that incentivize health, safety, and/or environmentally responsible actions and/or behaviors",Part
703642b9-0c26-4dfb-b90a-a6638a286283,Attribute,15b4243b-1f80-49a5-8b02-3823d1611f9d,FN-IN-450a.1,,,,,,,,Quantitative,No,Yes,Probable Maximum Loss (PML) of insured products from weather-related natural catastrophes,Part
3c0b6a8e-1e36-4c2d-91ea-8ab70fd144d0,Attribute,15b4243b-1f80-49a5-8b02-3823d1611f9d,FN-IN-450a.2,,,,,,,,Quantitative,No,Yes,"Total amount of monetary losses attributable to insurance payouts from (1) modeled natural catastrophes and (2) non-modeled natural catastrophes, by type of event and geographic segment (net and gross of reinsurance)",No
d3804730-6c68-4ceb-a2fd-1163fc98b9be,Attribute,15b4243b-1f80-49a5-8b02-3823d1611f9d,FN-IN-450a.3,,,,,,,,Qualitative,No,Yes,Description of approach to incorporation of environmental risks into (1) the underwriting process for individual contracts and (2) the management of firm-level risks and capital adequacy,Part
9550b615-fe64-4ac0-b77c-000e9bc94cc6,Attribute,15b4243b-1f80-49a5-8b02-3823d1611f9d,FN-IN-1,,,,,,,,Quantitative,Part,No,"(1) Gross exposure to carbon-related industries, by industry (2) total gross exposure to all industries, and (3) percentage of total gross exposure to each carbon-related industry",No
422187a3-2c94-45c7-82b0-5592f0feb94d,Attribute,15b4243b-1f80-49a5-8b02-3823d1611f9d,FN-IN-2,,,,,,,,Quantitative,Part,No,Percentage of gross exposure included in the financed emissions calculation,No
39d85432-ff72-4ff4-9009-7bac1789cb42,Attribute,15b4243b-1f80-49a5-8b02-3823d1611f9d,FN-IN-3,,,,,,,,Quantitative,Part,No,"For each industry by asset class: (1) absolute gross (a) Scope 1 emissions, (b) Scope 2 emissions, and (c) Scope 3 emissions, and (2) gross exposure (i.e., financed emissions)",Yes
a376c4b4-39b9-4336-833a-5b3a5092de84,Attribute,15b4243b-1f80-49a5-8b02-3823d1611f9d,FN-IN-4,,,,,,,,Quantitative,Part,No,"For each industry by asset class: (1) gross emissions intensity of (a) Scope 1 emissions, (b) Scope 2 emissions, and (c) Scope 3 emissions, and (2) gross exposure (i.e., financed emissions)",Yes
67ceec39-ef7a-45c3-98ef-e9c3e7c705b2,Attribute,15b4243b-1f80-49a5-8b02-3823d1611f9d,FN-IN-5,,,,,,,,Qualitative,Part,No,Description of the methodology used to calculate financed emissions,Yes
a4eb686c-35d6-4faf-b3a3-fabb2ed63f79,Attribute,15b4243b-1f80-49a5-8b02-3823d1611f9d,FN-IN-000.A,,,,,,,,Quantitative,No,Yes,"Number of policies in force, by segment: (1) property and casualty, (2) life, (3) assumed reinsurance",No
ec7d0f6a-bb97-40ff-aa61-c81fffe64e58,Object,ae10df11-bd9b-4a34-9081-d2d909c168fe,B18 - Investment Banking & Brokerage,,,,,,,,,,,,
e8be7e7d-e402-404d-ab4e-693997e21628,Attribute,ec7d0f6a-bb97-40ff-aa61-c81fffe64e58,FN-IB-410a.1,,,,,,,,Quantitative,No,Part,"Revenue from (1) underwriting, (2) advisory, and (3) securitzation transactions incorporating integration of envrionmental, social and governance (ESG) factors, by industry#",No
88652f7a-8154-4f09-92b7-780f7a47ccc6,Attribute,ec7d0f6a-bb97-40ff-aa61-c81fffe64e58,FN-IB-410a.2,,,,,,,,Quantitative,No,Yes,"(1) Number and (2) total value of investments and loans incorporating integration of environmental, social and governance (ESG) factors, by industry",No
624b00f4-0014-4abc-8e84-ffd6125fc021,Attribute,ec7d0f6a-bb97-40ff-aa61-c81fffe64e58,FN-IB-410a.3,,,,,,,,Qualitative,Part,Yes,"Description of approach to incorporation of environmental, social and governance (ESG) factors in investment banking and brokerage activities",No
6eb1f3b0-818e-463c-83e1-d1acf91d7c45,Attribute,ec7d0f6a-bb97-40ff-aa61-c81fffe64e58,FN-IB-1,,,,,,,,Quantitative,Part,No,"For each key business line in industry: (1) absolute gross (a) Scope 1 emissions, (b) Scope 2 emissions and (c) Scope 3 emissions, and (2) associated revenue (i.e. facilitated emissions)",Yes
f66de6e4-44d5-4829-b413-5803f1888a8a,Attribute,ec7d0f6a-bb97-40ff-aa61-c81fffe64e58,FN-IB-2,,,,,,,,Qualitative,Part,No,Description of the methodology used to calculate financed emissions,Yes
6c78b942-d4b0-4cd3-8052-b32eec0a9619,Attribute,ec7d0f6a-bb97-40ff-aa61-c81fffe64e58,FN-IB.000.A,,,,,,,,Quantitative,No,Yes,"(1) Number and (2) value of (a) underwriting. (b) advisory, and (c) securitization transactions",No
a4457778-4ba8-4860-9abc-c46af9456517,Attribute,ec7d0f6a-bb97-40ff-aa61-c81fffe64e58,FN-IB.000.B,,,,,,,,Quantitative,No,Yes,(1) Number and (2) value of proprietary investments and loans by sector,No
b96a741c-7425-469a-8e10-bbcdff8de364,Attribute,ec7d0f6a-bb97-40ff-aa61-c81fffe64e58,FN-IB.000.C,,,,,,,,Quantitative,No,Yes,"(1) Number and (2) value of market making transactions in (a) fixed income, (b) equity, (c) currency, (d) derivatives, and (e) commodity products",No
a2fead6c-f111-4b2b-a13c-2d55190e944a,Object,ae10df11-bd9b-4a34-9081-d2d909c168fe,B19 - Mortgage Finance,,,,,,,,,,,,
10a9738a-11ff-484b-ac18-3978b178cf1c,Attribute,a2fead6c-f111-4b2b-a13c-2d55190e944a,FN-MF-450a.1,,,,,,,,Quantitative,No,Part,(1) Number and (2) value of mortgage loans in 100-year flood zones,No
2158cdf2-295f-41fa-9ad6-e5dbe60f3632,Attribute,a2fead6c-f111-4b2b-a13c-2d55190e944a,FN-MF-450a.2,,,,,,,,Quantitative,Part,Part,"(1) Total expected loss and (2) Loss Default (LGD) attributable to mortgage loan default and deliquency due to weather-related natural catastrophes, by geographic region",No
458beb4b-d04e-41a7-abe3-8b13a349f296,Attribute,a2fead6c-f111-4b2b-a13c-2d55190e944a,FN-MF-450a.3,,,,,,,,Qualitative,Part,Yes,Description of how climate change and other environmental risks are incorporated into mortgage origination and underwriting,No
d9ec6ac2-6712-4780-b4aa-61ce8473adac,Attribute,a2fead6c-f111-4b2b-a13c-2d55190e944a,FN-MF-000.A,,,,,,,,Quantitative,No,Yes,(1) Number and (2) value of mortgages originated by category: (a) residential and (b) commercial,No
dff87e34-40b3-4459-b1ba-b31ae43a547f,Attribute,a2fead6c-f111-4b2b-a13c-2d55190e944a,FN-MF-000.B,,,,,,,,Quantitative,No,Yes,(1) Number and (2) value of mortgages purchased by category: (a) residential and (b) commercial,No